rank_test_macro_f1,param_n_estimators,param_criterion,param_max_features,param_max_leaf_nodes,param_min_samples_leaf,param_min_samples_split,param_ccp_alpha,param_max_samples,mean_test_macro_f1,std_test_macro_f1,mean_test_f1_g,std_test_f1_g,mean_test_f1_b,std_test_f1_b,mean_test_recall_b,std_test_recall_b,mean_test_accuracy,std_test_accuracy,mean_test_roc_auc,std_test_roc_auc,mean_train_macro_f1,std_train_macro_f1
12,200,log_loss,0.3,,1,2,0.0,,0.9428668608795497,0.02784175435454202,0.9611028055628337,0.018872100261659887,0.9246309161962658,0.0368212362963813,0.8809230769230769,0.043856678898699895,0.9486921529175051,0.024950671753576154,0.9774700854700855,0.014451844561691754,1.0,0.0
13,300,log_loss,0.5,16,1,8,0.001,1.0,0.9428403409825631,0.026028724389764783,0.9610565684899486,0.017587630444330225,0.9246241134751774,0.03448208133075438,0.8806153846153846,0.036479385440686636,0.948651911468813,0.023291213758782674,0.9755076923076924,0.014569167290781915,0.9953528755116385,0.0037943612558926894
14,100,log_loss,0.3,,2,8,0.0,0.8,0.9399105780319627,0.03216604873842977,0.9587616684390878,0.022390137123183954,0.9210594876248372,0.04196820695259991,0.8809230769230769,0.043856678898699895,0.9458350100603623,0.029185566688558266,0.9733880341880342,0.014429676970430162,0.9796530916705238,0.007643613693230987
14,200,log_loss,0.3,,2,8,0.0,0.8,0.9399105780319627,0.03216604873842977,0.9587616684390878,0.022390137123183954,0.9210594876248372,0.04196820695259991,0.8809230769230769,0.043856678898699895,0.9458350100603623,0.029185566688558266,0.9735726495726496,0.014471678165183487,0.9796806168817425,0.00878753518502868
16,200,gini,0.3,32,4,2,0.0,1.0,0.9398840581349758,0.030607664050520955,0.9587154313662027,0.02131361823106343,0.9210526849037487,0.039931094330836345,0.8806153846153846,0.036479385440686636,0.9457947686116702,0.027776104284069476,0.9701880341880342,0.014964145914185921,0.9710281300973603,0.0068682179223823634
17,300,log_loss,0.3,16,4,4,0.001,,0.9396659985948365,0.023471105075876277,0.9589527816736793,0.01595744518865753,0.9203792155159938,0.03099607250296756,0.8729230769230769,0.0302353686068634,0.9458350100603623,0.021062621812731656,0.9749743589743589,0.014060686851966684,0.9796683315678655,0.006759368805848886
17,300,log_loss,0.3,16,1,4,0.001,1.0,0.9396659985948365,0.023471105075876277,0.9589527816736793,0.01595744518865753,0.9203792155159938,0.03099607250296756,0.8729230769230769,0.0302353686068634,0.9458350100603623,0.021062621812731656,0.9769299145299145,0.014547792319721543,0.9992254792519397,0.0015490414961204734
17,200,entropy,0.3,16,1,2,0.0,1.0,0.9396659985948365,0.023471105075876277,0.9589527816736793,0.01595744518865753,0.9203792155159938,0.03099607250296756,0.8729230769230769,0.0302353686068634,0.9458350100603623,0.021062621812731656,0.9771213675213675,0.014109719396911004,1.0,0.0
17,300,log_loss,0.3,32,4,4,0.0,,0.9396659985948365,0.023471105075876277,0.9589527816736793,0.01595744518865753,0.9203792155159938,0.03099607250296756,0.8729230769230769,0.0302353686068634,0.9458350100603623,0.021062621812731656,0.9749743589743589,0.014060686851966684,0.9796683315678655,0.006759368805848886
17,200,log_loss,0.3,,2,4,0.0,,0.9396659985948365,0.023471105075876277,0.9589527816736793,0.01595744518865753,0.9203792155159938,0.03099607250296756,0.8729230769230769,0.0302353686068634,0.9458350100603623,0.021062621812731656,0.9772991452991452,0.014066404821860624,0.9984475138121546,0.003104972375690629
17,300,entropy,0.3,16,4,4,0.001,1.0,0.9396659985948365,0.023471105075876277,0.9589527816736793,0.01595744518865753,0.9203792155159938,0.03099607250296756,0.8729230769230769,0.0302353686068634,0.9458350100603623,0.021062621812731656,0.9749743589743589,0.014060686851966684,0.9796683315678655,0.006759368805848886
17,200,entropy,0.3,16,2,4,0.001,,0.9396659985948365,0.023471105075876277,0.9589527816736793,0.01595744518865753,0.9203792155159938,0.03099607250296756,0.8729230769230769,0.0302353686068634,0.9458350100603623,0.021062621812731656,0.9739213675213676,0.015932920969908695,0.9976729930640944,0.0031041129946216177
